Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
1,2010,14,Chhattisgarh,Durg,777.92,1319.18,1695.77,46.12,45.87,994.69,0.23,0.32,1393.94,0.06,0,0,0.23,0.32,1393.94,1.67,2.41,1443.11,3.17,4.63,1457.32,0,0,0,0.09,0.07,777.78,184.26,174.84,948.89,13.02,5.24,402.03,180.24,91.25,506.28,0.51,0.96,1861.6,2.2,0.57,260.12,6.09,2.17,355.94,0.4,0.1,250,0,0,0,12.54,3.14,250.58,0.4,0.29,725,91.77,105.41,1148.66,114.35,112.83,986.66,4.42,1.13,256.96,0,0,0,2,32.29,34.3,0.11,0.49,0.15
1,2011,14,Chhattisgarh,Durg,806.55,1416.48,1756.23,44.98,50.19,1115.68,0.26,0.2,774.6,0,0,0,0.26,0.2,774.6,0,0,0,3.63,4.67,1285.56,0.16,0.04,250,0.15,0.17,1133.33,196.27,197.94,1008.49,12.4,5.46,440.09,72.71,32.84,451.66,0.54,0.84,1561.11,1.59,0.55,347.76,3.84,1.61,418.76,0.15,0.03,203.94,0,0,0,12.7,4.96,390.64,0.18,0.15,833.33,87.07,69.83,802.03,106.25,78.18,735.8,4.07,2.06,506.02,0.08,0.02,250,0,0,0,0.12,0.54,0
1,2012,14,Chhattisgarh,Durg,807.07,1534.22,1900.97,43.87,47.69,1087.1,0.7,0.49,705.81,0,0,0,0.7,0.49,705.81,0,0,0,3.12,4.8,1538.56,0.18,0.05,277.78,0.19,0.11,578.95,208.6,235.92,1130.97,11.23,6.1,543.12,160.54,60.53,377.05,0.48,0.72,1502.72,1.72,0.47,272.66,3.77,1.64,434.56,0.36,0.09,252.03,0.05,0.02,400,11.38,4.76,418.13,0.19,0.14,736.84,85.05,101.62,1194.76,104.27,109.66,1051.69,4.97,1.26,252.98,0.13,0.02,153.85,1.99,33.7,35.69,0.12,0.54,1.32
1,2013,14,Chhattisgarh,Durg,819.44,1296.24,1581.86,41.54,43.33,1043.06,0,0,0,0,0,0,0.27,0.17,636.36,0.08,0.07,909.09,3.64,6.34,1742.2,0.17,0.04,235.29,0.22,0.12,545.45,229.99,173.91,756.19,11.37,5.68,499.89,142.9,56.73,397,0.49,0.9,1817.44,1.44,0.37,258.89,3.57,1.68,469.08,0.23,0.05,217.39,0,0,0,9.62,3.38,351.35,0.24,0.11,458.33,92.28,92.65,1003.99,108.22,99.31,917.64,3.94,0.93,237.45,0.05,0.01,200,1.9,32.83,34.74,0.11,0.5,0.77
1,2014,14,Chhattisgarh,Durg,834.87,1444.24,1729.89,44.25,50.96,1151.49,0,0,0,0,0,0,0.22,0.18,809.24,0.06,0.04,750,4.02,5.84,1451.66,0.13,0.03,230.77,0.14,0.11,785.71,228.75,241.58,1056.09,14.6,9.18,628.58,144.21,97.92,679.02,0.43,0.7,1627.06,1.25,0.53,425.14,3.73,1.76,473.43,0.23,0.05,217.39,0.01,0,0,7.94,3.04,383.47,0.2,0.1,500,85.84,39.93,465.22,99.93,46.2,462.3,5.75,3.46,602.17,0.05,0.02,400,0,0,0,0.33,0.51,0
1,2015,14,Chhattisgarh,Durg,817.68,880.6,1076.95,48.72,54.6,1120.74,0,0,0,0,0,0,0.18,0.19,1039.58,0,0,0,9.87,14.47,1467.17,0.06,0.01,166.67,0.04,0.03,750,220.27,166.24,754.73,24.71,11.01,445.48,121.23,47.02,387.89,0.44,0.75,1687.82,2.34,0.87,374.48,4.88,2.41,493.81,0.36,0.12,333.33,0.01,0,0,7.17,2.34,326.49,0.05,0.04,800,98.2,49.1,500.02,113.88,37.19,326.61,11.23,2.57,228.49,0.05,0.01,200,0,0,0,0.16,0.46,1.83
1,2016,14,Chhattisgarh,Durg,858.91,1791.66,2085.96,48.94,61.84,1263.55,0,0,0,0,0,0,0.08,0.13,1592.3,0,0,1000,7.95,16.12,2028.48,0.06,0.01,209.68,0.01,0.01,1333.33,227.24,264.01,1161.83,23.18,14.82,639.15,92.18,92.38,1002.1,0.35,0.7,2020.21,2.06,0.78,377.4,4.27,1.89,442.1,0.08,0.03,349.4,0,0,0,0,0,0,0.02,0,0,81.71,60.69,742.71,0,0,0,18.52,7.21,389.38,0.06,0.02,317.81,2.14,39.44,41.59,0.05,0.37,0.05
1,2017,14,Chhattisgarh,Durg,841.13,983.21,1168.92,43.5,50.19,1153.77,0,0,0,0,0,0,0.11,0.14,1268.62,0.01,0,333.33,9.25,18.09,1956.03,0.01,0,285.71,0,0,1000,258.46,259.45,1003.82,26.24,10.69,407.16,109.08,46.03,421.98,0.45,0.77,1722.94,1.8,0.49,273.92,4.7,2,425.21,0.29,0.12,395.19,0,0,0,4.6,1.16,252.72,0.01,0,0,77.4,25.02,323.3,0,0,0,19.85,3.59,181.06,0.45,0.13,297.85,0,0,0,0.08,0.19,0
2,2010,14,Chhattisgarh,Bastar,621.89,1184.98,1905.45,1.6,3.2,2000,2.7,4.4,1629.63,0.5,0,0,2.7,4.4,1629.63,0,0,0,35.7,72.3,2025.21,0,0,0,0,0,0,1.5,1.7,1133.33,2.3,0.93,404.35,45.3,17.7,390.73,0,0,0,2.44,1.01,413.93,5.9,2.6,440.68,0,0,0,0,0,0,2,0.7,350,0.03,0.02,666.67,0,0,0,24.23,7.35,303.34,1.02,0.12,117.65,0,0,0,2.66,14.37,17.02,0.28,0.14,0
2,2011,14,Chhattisgarh,Bastar,627.73,772.88,1231.23,1.33,2.49,1872.18,2.18,1.97,903.67,0,0,0,2.18,1.97,903.67,0,0,0,40.16,82.85,2063,6.74,1.69,250.74,0,0,0,1.57,1.47,936.31,2.22,0.93,418.92,46.66,15.56,333.48,0.01,0.01,1000,2.81,1.27,451.96,5.03,2.9,576.54,0,0,0,0,0,0,1.13,0.52,460.18,0.07,0.01,142.86,0.03,0.03,1000,22.57,7.5,332.3,0.54,0.34,629.63,0,0,0,0,0,0,0.23,0.29,0
